,video_name,xmin,ymin,width,height,landmark_0_x,landmark_0_y,landmark_1_x,landmark_1_y,landmark_2_x,landmark_2_y,landmark_3_x,landmark_3_y,landmark_4_x,landmark_4_y,landmark_5_x,landmark_5_y,class,clase
6636,JESUS_FRENTE_segment_1.mp4,0.3982813060283661,0.1616723537445068,0.2401745021343231,0.4269265532493591,0.4717739820480346,0.2836561203002929,0.5711921453475952,0.27474045753479,0.5236810445785522,0.3485453128814697,0.5266168713569641,0.4515541791915893,0.4146525859832763,0.3734956383705139,0.6294393539428711,0.3528389930725097,,
6637,JESUS_FRENTE_segment_1.mp4,0.4014820158481598,0.1638646125793457,0.2362676560878753,0.4199886918067932,0.4720629155635834,0.2850392460823059,0.5717453360557556,0.2758354544639587,0.5241257548332214,0.3481439352035522,0.5265344977378845,0.4496238231658935,0.4144658148288727,0.3736389279365539,0.6293785572052002,0.3541721701622009,,
6638,JESUS_FRENTE_segment_1.mp4,0.3994306325912475,0.1599834561347961,0.2375866174697876,0.4222921729087829,0.4710329174995422,0.2847703695297241,0.5700430274009705,0.2741485834121704,0.5259735584259033,0.3502681255340576,0.5282965302467346,0.4468438625335693,0.4124052226543426,0.3686130046844482,0.6263118982315063,0.3456971645355224,,
6639,JESUS_FRENTE_segment_1.mp4,0.3998329639434814,0.1606652736663818,0.2375565767288208,0.4222397804260254,0.472779244184494,0.2851083874702453,0.5697073936462402,0.2761504650115967,0.5259446501731873,0.3524100184440613,0.5276868343353271,0.4482316970825195,0.4142579734325409,0.3676794171333313,0.625136137008667,0.3486616611480713,,
6640,JESUS_FRENTE_segment_1.mp4,0.4006587564945221,0.1584279537200927,0.2349343001842498,0.4175691604614258,0.4721077382564544,0.2859770655632019,0.5682432651519775,0.2747161388397217,0.5275806188583374,0.3576974272727966,0.5298605561256409,0.4466278553009033,0.4138639569282532,0.3631916642189026,0.6224895715713501,0.3403929471969604,,
6641,JESUS_FRENTE_segment_1.mp4,0.4027268290519714,0.1645172834396362,0.2340928316116333,0.4161180853843689,0.4733586013317108,0.2842743396759033,0.5703042149543762,0.2745862007141113,0.5241870880126953,0.3473667502403259,0.5264345407485962,0.4472972750663757,0.4164820611476898,0.3705594539642334,0.6269183158874512,0.3495190143585205,,
6642,JESUS_FRENTE_segment_1.mp4,0.4014956653118133,0.162460446357727,0.2359473407268524,0.4194152355194092,0.472283124923706,0.2832086086273193,0.5703983306884766,0.2750182747840881,0.5241196751594543,0.3487081527709961,0.5262210965156555,0.4484205842018127,0.4134194850921631,0.3678367137908935,0.6264845132827759,0.348651647567749,,
6643,JESUS_FRENTE_segment_1.mp4,0.400887668132782,0.1634676456451416,0.2383489608764648,0.4236859083175659,0.472950130701065,0.284308910369873,0.572307825088501,0.2785617113113403,0.5245779752731323,0.3502295017242431,0.5268640518188477,0.4522488117218017,0.4145959019660949,0.3734647631645202,0.630038321018219,0.3583457469940185,,
6644,JESUS_FRENTE_segment_1.mp4,0.404226541519165,0.1637707352638244,0.2330603599548339,0.4142916202545166,0.4739537239074707,0.2860556244850158,0.5714170932769775,0.2747274041175842,0.5266189575195312,0.3500803112983703,0.5286003947257996,0.4474323391914367,0.415121853351593,0.3670423030853271,0.6264377236366272,0.3436620235443115,,
6645,JESUS_FRENTE_segment_1.mp4,0.404330849647522,0.1639233827590942,0.2335948348045349,0.4152385592460632,0.4736384153366089,0.2863885760307312,0.5721285939216614,0.2767198085784912,0.5259149074554443,0.3508889079093933,0.5274779200553894,0.4490081667900085,0.4150124192237854,0.3684188723564148,0.6284149885177612,0.3487097024917602,,
6646,JESUS_FRENTE_segment_1.mp4,0.4004362225532532,0.1649702191352844,0.2378285527229309,0.4227557182312011,0.473276674747467,0.2848771214485168,0.5716798901557922,0.2778738737106323,0.5241430401802063,0.348681628704071,0.5271021127700806,0.4513890743255615,0.4163980782032013,0.3772569298744201,0.6299650073051453,0.3596106767654419,,
6647,JESUS_FRENTE_segment_1.mp4,0.3985732793807983,0.1610215306282043,0.2410403490066528,0.4284677505493164,0.4715425074100494,0.2827368974685669,0.5728269219398499,0.2742719054222107,0.5242553353309631,0.3455030918121338,0.5273057222366333,0.4501783847808838,0.4135181307792663,0.375605821609497,0.6316739916801453,0.3549427390098572,,
6648,JESUS_FRENTE_segment_1.mp4,0.4027263224124908,0.1654658317565918,0.233995646238327,0.4159576892852783,0.4736822247505188,0.286638855934143,0.5701712369918823,0.2777761816978454,0.5240073800086975,0.3513656854629516,0.5268000960350037,0.4498686194419861,0.416676253080368,0.371913194656372,0.6274815201759338,0.3523495197296142,,
6649,JESUS_FRENTE_segment_1.mp4,0.4030716121196747,0.1657724976539611,0.2339877188205719,0.4159448742866516,0.473530501127243,0.2849315404891968,0.5718244314193726,0.2778714895248413,0.524904727935791,0.348577082157135,0.5270525813102722,0.4489310383796692,0.415056824684143,0.3711739182472229,0.6286816000938416,0.3542820811271667,,
6650,JESUS_FRENTE_segment_1.mp4,0.4032822847366333,0.1643040180206298,0.2342018485069275,0.4163148403167724,0.4738236367702484,0.2853220701217651,0.5711638927459717,0.2750284671783447,0.5253829956054688,0.3485501408576965,0.5276031494140625,0.4481790065765381,0.4160799086093902,0.3696988224983215,0.6277644634246826,0.3476353883743286,,
6651,JESUS_FRENTE_segment_1.mp4,0.4014469981193542,0.1645631790161132,0.2361722588539123,0.4198175072669983,0.4740012884140014,0.2871790528297424,0.5714319348335266,0.2776730060577392,0.5239270925521851,0.3517419695854187,0.5266702175140381,0.4514810442924499,0.4179005026817322,0.3731731176376343,0.6298335194587708,0.3531104326248169,,
6652,JESUS_FRENTE_segment_1.mp4,0.3999438285827636,0.1633250117301941,0.2387579083442688,0.4244100451469421,0.4726757109165191,0.2834194898605346,0.5722455978393555,0.2755727171897888,0.523903489112854,0.3459935188293457,0.5266355872154236,0.4498420357704162,0.4153626263141632,0.3749577403068542,0.6306898593902588,0.3569709658622741,,
