SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase 
4,0.0601,6,0.05982906,-0.91872042,-0.37749699,1.89624345,0.64126319,0.42833501,-25.10961723,25.10961723,-109.1201401,-0.17757943,-0.00566615,7.971416,0.99758023,0.00154249,0.00015704,-0.06950744,-0.00145954,0.00262021,-0.00494277,0,0,0,0,1,1
1,0.07,7,0.18437202,0.97572953,-0.09643176,-0.70413005,1.19235528,0.04480869,-45.48377609,68.31335449,-91.2306366,0.98843235,3.44294667,-2.16367483,0.99932849,-0.00918732,-0.02987159,0.01913035,-0.00424553,0.00034139,-0.0026083,0,0,0,0,1,1
2,0.0701,7,0.98875087,0.0714842,0.07797553,-0.07851266,-0.05581533,-1.15769839,-10.87401295,38.40982056,-67.43642426,1.89777386,-0.04027061,0.62206173,0.99984813,-0.0165621,0.00026148,-0.00543356,0.00065265,-0.0032103,-0.0055087,0,0,0,0,1,1
4,0.0701,7,0.05945526,-0.92129678,-0.37930956,2.17852449,0.6592527,0.41258025,-25.25577354,27.97427559,-109.003212,-0.14490668,0.0020374,7.97576571,0.99757808,0.00126272,0.00007021,-0.06954545,-0.0008909,0.00151069,-0.00189972,0,0,0,0,1,1
1,0.08,8,0.1829135,0.97443742,-0.09263724,-0.59115988,0.72444856,0.11325833,-45.86378098,68.78105927,-91.37679291,0.98131335,3.444767,-2.17002106,0.99932748,-0.00912719,-0.02988815,0.01918396,-0.00296051,-0.0031837,-0.00436719,0,0,0,0,1,1
2,0.0801,8,0.98837364,0.06583461,0.07952587,-0.40082538,-0.01688518,-1.22367561,-11.22478771,38.0590477,-67.46565247,1.90247917,-0.04425231,0.63530862,0.99984676,-0.01660338,0.00029407,-0.00554973,-0.00045329,-0.00907956,-0.00599057,0,0,0,0,1,1
4,0.0801,8,0.05835417,-0.92334026,-0.380395,1.98318768,0.59028482,0.3236869,-24.84653664,26.04501534,-109.7339935,-0.12470546,0.00129483,7.98128128,0.99757487,0.00108641,0.00006446,-0.06959347,0.00044526,0.00077113,0.00033266,0,0,0,0,1,1
2,0.0901,9,0.99033868,0.06751809,0.08087874,-0.65205002,-0.08090896,-1.34406471,-11.22478771,38.0590477,-67.46565247,1.90892112,-0.04950451,0.64904904,0.99984509,-0.01665988,0.00033759,-0.0056704,0.00120224,-0.00824738,-0.00383546,0,0,0,0,1,1
4,0.0901,9,0.05786106,-0.9222436,-0.38099983,1.85856521,0.48680103,0.2346195,-25.02192307,27.62350082,-109.7047653,-0.10581358,0.00098043,7.98557329,0.99757248,0.00092175,0.00005576,-0.06963084,0.00088586,-0.00053357,-0.00048067,0,0,0,0,1,1
2,0.1001,10,0.99228013,0.06988996,0.07684619,-0.18727513,-0.03121529,-1.45335436,-11.02016926,37.679039,-67.93334961,1.91898942,-0.05428217,0.65556455,0.99984336,-0.01674799,0.00037783,-0.00572798,-0.0016455,-0.0044985,-0.00215825,0,0,0,0,1,1
