SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
3,0.08,8,-0.05477631,-0.9989897,0.00707099,-0.07265899,0.95361823,-0.10346405,-22.80035019,24.08652496,-76.29347992,0.03259479,-0.5275774,0.77338827,0.99996668,-0.00031551,0.00460194,-0.00675027,0.01782754,0.00147185,0.00019023,0,0,0,0,1,0
1,0.08,3,0.06379024,-1.0069524,0.0648616,-0.34030831,1.63600862,-0.0816633,-53.69775009,7.51242304,-101.3154068,0.08739062,0.64980161,-1.79635,0.99986076,-0.00085141,-0.0056579,0.01567953,-0.01580577,-0.00314843,0.01079742,0,0,0,0,1,0
2,0.08,8,0.16718815,-0.98027968,-0.1028472,0.19077064,0.63339376,-0.92745799,-45.45454407,-15.22946453,-93.80297852,0.42442101,1.16435027,0.3887817,0.99993598,-0.00366908,-0.01017313,-0.00335492,0.00712471,-0.00012845,-0.00014132,0,0,0,0,1,0
3,0.09,9,-0.04729342,-0.99840689,0.00524024,-0.25517759,1.0950557,-0.50207508,-23.47266769,23.79421234,-75.94270325,0.02700523,-0.62697202,0.78882402,0.99996138,-0.00027332,0.00546958,-0.00688492,0.0099705,-0.00029938,-0.00060523,0,0,0,0,1,0
1,0.09,4,0.06479298,-1.00688171,0.06435197,-0.48189229,1.582376,-0.25554234,-54.13621521,7.68781042,-100.4384689,0.08337079,0.65129352,-1.78021431,0.99986291,-0.00081574,-0.00567159,0.01553855,-0.01415738,-0.00299363,0.01075679,0,0,0,0,1,0
2,0.09,9,0.16952299,-0.97650784,-0.10219072,-0.05997207,0.9152379,-1.09620965,-45.60070038,-14.76176548,-93.74451447,0.42522246,1.17621064,0.39673904,0.99993461,-0.003675,-0.01027691,-0.0034239,0.00442617,0.00008247,-0.00355282,0,0,0,0,1,0
1,0.1,5,0.06421595,-1.0054419,0.06433932,-0.46184272,1.4610672,-0.36393964,-54.54545212,8.15550995,-100.1461563,0.07949316,0.65394855,-1.76522183,0.99986482,-0.00078152,-0.00569538,0.01540755,-0.01359683,-0.00283804,0.00929829,0,0,0,0,1,0
1,0.11,6,0.06424658,-1.00430655,0.06423426,-0.40816355,1.47909951,-0.39828119,-54.54545212,8.15550995,-100.1461563,0.07617447,0.65693688,-1.75005066,0.99986672,-0.00075221,-0.005722,0.01527503,-0.01362158,-0.00280978,0.00816093,0,0,0,0,1,0
1,0.12,7,0.06424646,-1.00591421,0.06684892,-0.28401989,1.60224009,-0.46389329,-54.45775986,7.39549828,-100.4676971,0.07416101,0.6604985,-1.733657,0.99986869,-0.00073429,-0.00575345,0.0151319,-0.01349092,-0.00025919,0.00993527,0,0,0,0,1,0
1,0.13,8,0.06312183,-1.00729525,0.06694533,-0.12449545,1.69090831,-0.37535504,-53.7269783,4.94007587,-100.847702,0.07966881,0.77303779,-1.70988452,0.99986565,-0.0007958,-0.00673485,0.01492535,-0.01177976,-0.00026196,0.01128159,0,0,0,0,1,0
