SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
4,0.05,5,0.05671869,-0.92139781,-0.38009793,2.19028711,-0.25989756,-0.50601804,-23.61882401,-35.98363113,-72.14264679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
2,0.0501,5,-0.16645749,-0.96846896,-0.16878688,-0.65734369,1.97335875,-1.35748839,-60.33323669,-8.91552162,-88.48290253,-0.08593617,0.78247333,6.80523634,0.99821329,0.00115387,-0.00677176,-0.05935568,0.01240149,0.00660681,-0.00286105,0,0,0,0,1,2
3,0.06,6,0.01171845,-1.00082636,-0.04776014,-0.27878326,-0.47914997,0.54183042,-23.50189972,25.1973114,-76.70272064,-0.06288441,-1.18575096,-0.77840084,0.99992329,0.00061902,0.01034347,0.00679809,-0.0033151,-0.0025151,0.00209124,0,0,0,0,1,2
1,0.06,6,0.0701131,-0.99652964,0.06476609,0.53227746,0.43199673,-0.70496887,-46.8284111,1.28617358,-99.79537964,0.20359841,-0.40123928,-0.20846938,0.99999064,-0.00177035,0.00350469,0.001813,-0.0073091,-0.01129681,0.00109087,0,0,0,0,1,2
4,0.06,6,0.05763967,-0.91925335,-0.38098383,1.88632977,0.05005436,-0.51127964,-23.61882401,-35.98363113,-72.14264679,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
2,0.0601,6,-0.16031311,-0.96794903,-0.17328833,-0.76394039,2.40602183,-1.38619637,-60.33323669,-8.71090317,-88.45366669,-0.08944386,0.76760441,6.83070755,0.99820089,0.0011782,-0.00664016,-0.05957772,0.00645917,0.0022289,-0.00361083,0,0,0,0,1,2
1,0.07,7,0.0709346,-0.99462336,0.07149656,0.37777752,1.29897726,-0.65465665,-47.06226349,1.14001751,-99.97076416,0.1883029,-0.32637322,-0.19251364,0.99999326,-0.00163846,0.00285089,0.00167531,-0.00782165,-0.00445755,-0.00026338,0,0,0,0,1,2
4,0.07,7,0.05948353,-0.91770691,-0.38260877,1.6386584,-0.01810551,-0.59445304,-23.15112495,-35.89593506,-71.96726227,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
3,0.07,7,0.01252845,-1.0023706,-0.0454009,-0.47259292,-0.4624649,0.57591379,-23.18035698,24.70038033,-76.73194885,-0.06763992,-1.19172215,-0.78264517,0.99992239,0.00066125,0.01039527,0.00683558,-0.00418565,-0.00001854,0.00355516,0,0,0,0,1,2
2,0.0701,7,-0.15502211,-0.96946669,-0.17618136,-0.72809541,2.47501731,-1.40324736,-60.33323669,-8.71090317,-88.45366669,-0.10003756,0.78582245,6.851017,0.99818915,0.00128115,-0.00679312,-0.05975532,0.00079155,-0.00026315,-0.00252477,0,0,0,0,1,2
