SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m),Rep,Clase
2,0.06,6,0.01830599,-0.9970426,-0.01991473,-0.18585233,-0.11855342,0.23327661,-51.79771805,-14.46945286,-87.60596466,-0.43230575,0.27454272,0.76669109,0.99996758,0.0037885,-0.00237052,-0.00669956,0.00166814,0.00309148,-0.0025655,0,0,0,0,1,2
4,0.07,7,0.04000005,-0.88868934,-0.44385457,-0.85171473,-2.25383925,-1.17588103,-26.04501534,29.61122513,-110.2601547,4.92738199,1.12084341,1.15940833,0.998981,-0.04288313,-0.0102064,-0.00968731,-0.00262552,-0.0002303,-0.00588565,0,0,0,0,1,2
1,0.07,7,0.13351032,-0.98669833,0.14556921,-0.28707045,0.39078185,2.01448584,-45.51300812,1.63694823,-100.4092331,-2.28837872,0.21835238,2.98451138,0.99945879,0.02001134,-0.00138444,-0.02607462,-0.00917914,0.00329081,0.00632724,0,0,0,0,1,2
2,0.07,7,0.02251234,-0.9975453,-0.02060513,-0.25692892,-0.05044891,0.30475545,-51.79771805,-14.46945286,-87.60596466,-0.43488944,0.27148387,0.76629698,0.99996758,0.00381086,-0.00234369,-0.00669607,-0.00257892,0.00245823,-0.00198805,0,0,0,0,1,2
1,0.08,8,0.13384467,-0.9843474,0.14072335,-0.31967908,0.1645579,1.95452964,-45.80532074,1.52002335,-99.85384369,-2.291785,0.19877984,2.98375583,0.99945873,0.0200366,-0.00121309,-0.02606466,-0.01024084,-0.000985,0.00319684,0,0,0,0,1,2
4,0.08,8,0.04084055,-0.88181609,-0.44425458,-0.71038353,-2.39202905,-1.19464636,-26.04501534,29.61122513,-110.2601547,4.91923809,1.12082124,1.13280034,0.9989863,-0.0428145,-0.01019558,-0.00945608,-0.0029358,-0.00395659,-0.01152652,0,0,0,0,1,2
2,0.08,8,0.02275553,-0.99538136,-0.02226998,-0.11329497,0.10262137,0.33996591,-52.41157532,-14.2648344,-87.69365692,-0.43032667,0.30828506,0.76799375,0.9999668,0.00377323,-0.00266504,-0.00671199,-0.00273829,0.00075411,-0.00412141,0,0,0,0,1,2
1,0.09,9,0.13439201,-0.98115629,0.13692109,-0.31305319,-0.25219539,1.71429503,-45.80532074,1.52002335,-99.85384369,-2.29557347,0.18218328,2.97924113,0.99945939,0.02006584,-0.00106826,-0.02602243,-0.01155541,-0.00408094,-0.00053889,0,0,0,0,1,2
4,0.09,9,0.03879584,-0.88057637,-0.44446307,-0.69276017,-2.37467194,-1.19430232,-26.07424736,29.43583679,-110.7570877,4.91130543,1.12086582,1.10634971,0.99899143,-0.04274769,-0.01018544,-0.00922617,-0.00091189,-0.00465805,-0.01252328,0,0,0,0,1,2
2,0.09,9,0.02390986,-0.99660766,-0.02253592,-0.11295133,0.22290598,0.35885707,-51.8561821,-14.17714119,-87.69365692,-0.43140578,0.30474621,0.7703231,0.99996674,0.00378249,-0.00263402,-0.00673222,-0.00340663,0.00045575,-0.00287174,0,0,0,0,1,2
