,video_name,xmin,ymin,width,height,landmark_0_x,landmark_0_y,landmark_1_x,landmark_1_y,landmark_2_x,landmark_2_y,landmark_3_x,landmark_3_y,landmark_4_x,landmark_4_y,landmark_5_x,landmark_5_y
0,Prueba_5_Izquierda.mp4,0.5636720657348633,0.3697637617588043,0.2877085208892822,0.1628166735172271,0.7003086805343628,0.4124850332736969,0.7489168643951416,0.4130417108535766,0.7847253084182739,0.4439282417297363,0.755117654800415,0.4820665717124939,0.5401368141174316,0.4375793039798736,0.697318434715271,0.4322553873062134
1,Prueba_5_Izquierda.mp4,0.5644798278808594,0.3698484301567077,0.2855614423751831,0.1616019010543823,0.698441743850708,0.4123694002628326,0.7498728036880493,0.4127988517284393,0.7821972370147705,0.4434727430343628,0.7543885707855225,0.4814236164093017,0.5432629585266113,0.4375817477703094,0.7038418054580688,0.4315682053565979
2,Prueba_5_Izquierda.mp4,0.5554789304733276,0.3651429116725921,0.2869781255722046,0.1624274551868438,0.6916418075561523,0.410504013299942,0.7492344379425049,0.4064947962760925,0.7871549129486084,0.4402582347393036,0.7660516500473022,0.4764940142631531,0.5452578067779541,0.4413827061653137,0.7121481895446777,0.4251628220081329
3,Prueba_5_Izquierda.mp4,0.5650063753128052,0.3700436651706695,0.2874140739440918,0.162649005651474,0.7004261016845703,0.4135383367538452,0.7507563829421997,0.4137577712535858,0.7862081527709961,0.445252001285553,0.7564862966537476,0.4828202128410339,0.5403093099594116,0.4379859864711761,0.6991311311721802,0.4324567317962646
4,Prueba_5_Izquierda.mp4,0.5679287910461426,0.3712359368801117,0.2817219495773315,0.1594279110431671,0.7011727094650269,0.4132513999938965,0.7495501041412354,0.4133482873439789,0.7854177951812744,0.4435607194900512,0.7570281028747559,0.4810124635696411,0.5442743301391602,0.4388573169708252,0.6991497278213501,0.431910753250122
5,Prueba_5_Izquierda.mp4,0.568785548210144,0.3713814318180084,0.2806446552276611,0.1588183939456939,0.7021393775939941,0.4126244187355041,0.7497001886367798,0.4131113588809967,0.7860608100891113,0.4427507817745209,0.7576262950897217,0.4804062843322754,0.5453425645828247,0.4387631714344024,0.6993979215621948,0.4321689307689667
6,Prueba_5_Izquierda.mp4,0.5691567659378052,0.3717630803585052,0.2798454761505127,0.1583657562732696,0.7017185688018799,0.4130051732063293,0.7502305507659912,0.4133933186531067,0.7856518030166626,0.4427531957626343,0.7573503255844116,0.4804279506206512,0.5452364683151245,0.4389321208000183,0.700605034828186,0.4321910440921783
7,Prueba_5_Izquierda.mp4,0.5616352558135986,0.3679822087287903,0.2762744426727295,0.1563621163368225,0.6932387351989746,0.4105952680110931,0.7479736804962158,0.4071490168571472,0.7865670919418335,0.438536673784256,0.7663465738296509,0.4743459820747375,0.549612283706665,0.4435890913009643,0.7112923860549927,0.4275936484336853
8,Prueba_5_Izquierda.mp4,0.555971622467041,0.3659798502922058,0.2845416069030761,0.1610379219055175,0.6900968551635742,0.4101253747940063,0.7471532821655273,0.406428724527359,0.7872774600982666,0.4390140771865845,0.7655613422393799,0.4763384163379669,0.5397759675979614,0.4443899989128113,0.7068653106689453,0.4290436506271362
9,Prueba_5_Izquierda.mp4,0.5530112981796265,0.3647517263889313,0.2900062799453735,0.1641349494457245,0.6910449266433716,0.4096855521202087,0.7479259967803955,0.4067144095897674,0.7878023386001587,0.4402453005313873,0.7643914222717285,0.477877140045166,0.5378209352493286,0.4424482882022857,0.7057353258132935,0.4297782778739929
10,Prueba_5_Izquierda.mp4,0.5511448383331299,0.3633263111114502,0.2934581041336059,0.1660882234573364,0.6921240091323853,0.408616840839386,0.7461371421813965,0.4059061408042907,0.7885646820068359,0.4399093389511108,0.763324499130249,0.4783483743667602,0.5348987579345703,0.4415572583675384,0.6999984979629517,0.430055558681488
11,Prueba_5_Izquierda.mp4,0.5502594709396362,0.3631250262260437,0.2938840389251709,0.1663320660591125,0.6897743940353394,0.408204048871994,0.7464174032211304,0.4056146442890167,0.7861818075180054,0.4391394853591919,0.76215660572052,0.4778418242931366,0.5347011089324951,0.4414123892784118,0.7041709423065186,0.4302932322025299
12,Prueba_5_Izquierda.mp4,0.5500301122665405,0.3628182709217071,0.2952978610992431,0.1671344339847564,0.6906431913375854,0.4085101783275604,0.7467551231384277,0.4056548774242401,0.7882232666015625,0.4396023750305176,0.7639617919921875,0.478298544883728,0.5343219041824341,0.4416011571884155,0.7029709815979004,0.4300155341625213
13,Prueba_5_Izquierda.mp4,0.5510596036911011,0.3624591529369354,0.2932014465332031,0.1659512221813202,0.6905592679977417,0.4081565141677856,0.747094988822937,0.4050630927085876,0.7877612113952637,0.4390287697315216,0.7638230323791504,0.4771720170974731,0.5359355211257935,0.4398373961448669,0.7040727138519287,0.426784485578537
14,Prueba_5_Izquierda.mp4,0.5526142120361328,0.3633164763450622,0.2922807931900024,0.1654270887374878,0.6925697326660156,0.4085956811904907,0.747107982635498,0.4063054323196411,0.7884243726730347,0.4398010075092315,0.7625595331192017,0.4778085947036743,0.5354635715484619,0.4399789571762085,0.7014114856719971,0.4293353259563446
15,Prueba_5_Izquierda.mp4,0.5565855503082275,0.3592345416545868,0.302030086517334,0.1709852516651153,0.7015187740325928,0.405370682477951,0.7504009008407593,0.4061392843723297,0.7879008054733276,0.4396328926086426,0.7543072700500488,0.4776018261909485,0.5343141555786133,0.4294655323028564,0.6913011074066162,0.4273154139518738
